amount_gives,avg_perc_gives,min_perc_gives,max_perc_gives,amount_takes,avg_perc_takes,min_perc_takes,max_perc_takes,loans_gives_offered,loans_gives_accepted,loans_takes_offered,loans_takes_accepted,time
345.69,0.02,0.01,0.02,1175.87,0.03,0.01,0.03,3.00,3.00,6.00,6.00,1.00
511.28,0.02,0.01,0.02,2405.32,0.03,0.01,0.03,4.00,4.00,11.00,11.00,2.00
563.72,0.02,0.01,0.02,801.57,0.03,0.01,0.03,5.00,5.00,6.00,6.00,3.00
273.16,0.01,0.01,0.02,818.80,0.03,0.01,0.03,2.00,2.00,4.00,4.00,4.00
550.39,0.02,0.01,0.02,801.31,0.03,0.01,0.03,5.00,5.00,6.00,6.00,5.00
675.74,0.02,0.01,0.02,675.74,0.03,0.01,0.03,5.00,5.00,5.00,5.00,6.00
473.29,0.02,0.01,0.02,1044.26,0.03,0.01,0.03,4.00,4.00,6.00,6.00,7.00
194.08,0.01,0.01,0.02,774.79,0.03,0.01,0.03,2.00,2.00,4.00,4.00,8.00
152.65,0.01,0.01,0.02,421.68,0.02,0.01,0.03,2.00,2.00,3.00,3.00,9.00
276.12,0.02,0.01,0.02,276.12,0.03,0.01,0.03,5.00,5.00,5.00,5.00,10.00
214.37,0.01,0.01,0.02,813.16,0.03,0.01,0.03,2.00,2.00,4.00,4.00,11.00
207.92,0.01,0.01,0.02,513.94,0.02,0.01,0.03,2.00,2.00,3.00,3.00,12.00
313.27,0.02,0.01,0.02,595.90,0.03,0.01,0.03,3.00,3.00,4.00,4.00,13.00
191.42,0.02,0.01,0.02,1230.25,0.03,0.01,0.03,3.00,3.00,6.00,6.00,14.00
639.24,0.02,0.01,0.02,914.50,0.03,0.01,0.03,3.00,3.00,4.00,4.00,15.00
152.78,0.01,0.01,0.02,403.80,0.02,0.01,0.03,2.00,2.00,3.00,3.00,16.00
606.85,0.02,0.01,0.02,606.85,0.03,0.01,0.03,4.00,4.00,4.00,4.00,17.00
700.25,0.02,0.01,0.02,1492.17,0.03,0.01,0.03,4.00,4.00,7.00,7.00,18.00
100.00,0.01,0.01,0.01,369.44,0.02,0.01,0.03,1.00,1.00,2.00,2.00,19.00
100.00,0.01,0.01,0.01,649.60,0.02,0.01,0.03,1.00,1.00,2.00,2.00,20.00
269.49,0.02,0.01,0.02,269.49,0.02,0.01,0.03,4.00,4.00,4.00,4.00,21.00
222.42,0.02,0.01,0.02,819.42,0.03,0.01,0.03,5.00,5.00,6.00,6.00,22.00
276.09,0.02,0.01,0.02,720.20,0.03,0.01,0.03,4.00,4.00,6.00,6.00,23.00
119.05,0.01,0.01,0.02,1035.85,0.02,0.01,0.03,2.00,2.00,4.00,4.00,24.00
258.55,0.02,0.01,0.02,581.60,0.03,0.01,0.03,5.00,5.00,6.00,6.00,25.00
138.09,0.02,0.01,0.02,1369.68,0.03,0.01,0.03,3.00,3.00,5.00,5.00,26.00
343.78,0.02,0.01,0.02,343.78,0.03,0.01,0.03,5.00,5.00,5.00,5.00,27.00
124.29,0.01,0.01,0.02,1013.14,0.02,0.01,0.03,2.00,2.00,4.00,4.00,28.00
140.01,0.01,0.01,0.02,368.73,0.02,0.01,0.03,2.00,2.00,3.00,3.00,29.00
113.81,0.01,0.01,0.02,980.18,0.03,0.01,0.03,2.00,2.00,4.00,4.00,30.00
